time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
50.3254906100,0.1151957270,0.0295934640,0.0151201090,0.0070741140,0.0163722920,0.0122411860,0.0108170750,0.0093960940,0.0092681680,0.0094469070,0.0094605850,0.0093248010,0.0095663900,0.0137544110,0.0178844130,0.0159394050,0.0204463750,0.0011324940,0.0009322060,52784.0440500000,51837.8104900000,0.9321037780, 
50.3340239700,0.1151969560,0.0296156740,0.0151579570,0.0070999770,0.0163992110,0.0122596120,0.0108457830,0.0094217130,0.0092919180,0.0094635000,0.0094755820,0.0093370980,0.0095731970,0.0137634880,0.0178885460,0.0159369380,0.0204523830,0.0011329650,0.0009312630,52928.9961900000,51881.3305400000,0.9320823590, 
50.3425573300,0.1152298880,0.0296662280,0.0152152330,0.0071338390,0.0164935580,0.0123281620,0.0109135710,0.0094830930,0.0093522200,0.0095111640,0.0095345400,0.0093932650,0.0096258980,0.0138329160,0.0179624390,0.0159709400,0.0204805310,0.0011326930,0.0009318080,51006.6147100000,51918.3944300000,0.9320958060, 
50.3510906900,0.1151797490,0.0295914580,0.0151286000,0.0070741300,0.0163914380,0.0122419460,0.0108264030,0.0093977780,0.0092770080,0.0094436730,0.0094652330,0.0093306980,0.0095722970,0.0137618530,0.0178926900,0.0159411980,0.0204484640,0.0011324880,0.0009338400,50698.7397800000,51895.6452500000,0.9321135340, 
50.3596240500,0.1151429440,0.0295464960,0.0150833520,0.0070465890,0.0163227760,0.0121869800,0.0107746120,0.0093550900,0.0092308870,0.0094036740,0.0094232090,0.0092889860,0.0095401680,0.0137127040,0.0178483640,0.0159188730,0.0204258480,0.0011314720,0.0009364060,52974.1170300000,51872.8960700000,0.9321040630, 
50.3681574100,0.1151601480,0.0295381660,0.0150771830,0.0070585170,0.0162992530,0.0122019130,0.0107723790,0.0093624280,0.0092250680,0.0094038150,0.0094182180,0.0092878840,0.0095324350,0.0137148650,0.0178381380,0.0159233970,0.0204281390,0.0011310580,0.0009400690,52135.5065600000,51850.1468800000,0.9320889640, 
50.3766907700,0.1152124380,0.0295241090,0.0150562160,0.0070396120,0.0162638530,0.0121753170,0.0107459920,0.0093370640,0.0092056120,0.0093831640,0.0093949260,0.0092708040,0.0095116820,0.0136981660,0.0178221410,0.0159137890,0.0204128560,0.0011310580,0.0009427420,51945.7911300000,51824.6502100000,0.9320848380, 
50.3852241300,0.1152612460,0.0295851150,0.0151130190,0.0070681620,0.0163407310,0.0122094280,0.0107892280,0.0093744030,0.0092447620,0.0094175390,0.0094305960,0.0093001470,0.0095468290,0.0137247070,0.0178596060,0.0159207530,0.0204240590,0.0011310580,0.0009436470,51831.3999800000,51787.3827800000,0.9320994700, 
50.3937574900,0.1152483430,0.0296495160,0.0151864380,0.0071185490,0.0164601810,0.0122990720,0.0108643890,0.0094383900,0.0093042990,0.0094705930,0.0094826690,0.0093448230,0.0095963650,0.0137722400,0.0179018730,0.0159508260,0.0204540530,0.0011310580,0.0009440180,53625.2967800000,51750.1153600000,0.9321067630, 
50.4022908500,0.1151861060,0.0295975660,0.0151374800,0.0070903340,0.0163885190,0.0122354570,0.0108169470,0.0093990320,0.0092692930,0.0094298370,0.0094464210,0.0093200170,0.0095620830,0.0137344190,0.0178588660,0.0159306220,0.0204389630,0.0011315640,0.0009434070,51041.5340400000,51712.8479400000,0.9321140040, 
